Question	Answer	Source
Question	Answer	LamplightersBanner.tsv
hi	hello	LamplightersBanner.tsv
what is this exhibit?	This is the Preston Corporation Lamplighters banner	LamplightersBanner.tsv
What is this exhibit's name	This is the Preston Corporation Lamplighters banner	LamplightersBanner.tsv
Tell me about this	This is the Preston Corporation Lamplighters banner	LamplightersBanner.tsv
what am I looking at?	This is the Preston Corporation Lamplighters banner	LamplightersBanner.tsv
what is this?	This is the Preston Corporation Lamplighters banner	LamplightersBanner.tsv
How old is this?	It was first carried in 1902	LamplightersBanner.tsv
Who carried this?	It was carried by the lamplighters in the trades procession	LamplightersBanner.tsv
Can you tell me more about this?	The Preston Corporation Lamplighters banner carried in the 1902 Guild.  This banner was carried by lamplighters in the trades procession. Preston was the first town outside London to be lit by gas in 1816. Another Preston claim to fame is that the Corporations lamplighters invented the acetylene torch in their premises that were located near to the Bus Station today	LamplightersBanner.tsv
What other exhibits are like this one?	Please check the English flag on Stand 81	LamplightersBanner.tsv
Where are the nearest toilets?	Behind you and on the right	LamplightersBanner.tsv
Can I get assistance?	Of course, please go to the information point by the entrance  \n	LamplightersBanner.tsv
